Depot_ID,Depot_Name,District,Avg_EV_Suitability,Avg_Operational_Intensity,Avg_Passenger_Demand,Avg_Terrain_Score,Avg_Buses,Avg_Schedules,Avg_Passengers,Avg_Effective_KM,Total_Diesel_Litres,Total_CO2_Tonnes,Total_OPEX_Saving_INR,Total_EV_Energy_MWh,Terrain_Class,Annual_OPEX_Saving_INR,Annual_CO2_Avoided_Tonnes,Annual_EV_Energy_MWh,ML_Dominant_Category,EV_Suitable_Pct,Conditional_Pct,Diesel_Preferred_Pct
KSRTC-011,Vithura,Thiruvananthapuram,0.595910597826087,0.3206893115942029,0.7852198067632851,1.0,41.85,3.7180000000000004,310560.56666666665,270659.4498333333,3980286.03,10667.168,389749607.9,20299.462,Flat,64958267.98333333,1777.8613333333333,3383.2436666666667,Conditional,0.0,85.0,15.0
KSRTC-012,Kattakada,Thiruvananthapuram,0.33986735356280195,0.5382372433574879,0.1024957729468599,0.2,85.95,6.022333333333333,155858.26666666666,268851.724,3953701.83,10595.917,387146483.03,20163.877,Steep,64524413.83833333,1765.9861666666666,3360.646166666667,Diesel Preferred,0.0,1.6666666666666667,98.33333333333333
KSRTC-013,Attingal,Thiruvananthapuram,0.6539931763285024,0.48899758454106285,0.7649812801932366,0.9,97.06666666666666,7.7635,474741.4,217763.32333333333,3202401.82,8582.437,313579186.92,16332.246,Flat/Rolling,52263197.82,1430.4061666666666,2722.0409999999997,EV Suitable,50.0,50.0,0.0
KSRTC-014,Kilimanoor,Thiruvananthapuram,0.6210985356280194,0.44302279589371985,0.6652904589371981,1.0,65.0,8.4345,367638.55,231337.88150000002,3402027.67,9117.432,333126548.4,17350.34,Flat,55521091.4,1519.5720000000001,2891.7233333333334,Conditional,33.33333333333333,53.333333333333336,13.333333333333334
KSRTC-015,Venjaramoodu,Thiruvananthapuram,0.43213269927536235,0.429268115942029,0.22499547101449274,0.75,81.36666666666666,6.526,198801.25,221098.65350000001,3251450.79,8713.889,318382061.98,16582.400999999998,Rolling,53063676.99666667,1452.3148333333331,2763.7335,Conditional,0.0,58.333333333333336,41.66666666666667
KSRTC-016,Kaniyapuram,Thiruvananthapuram,0.46440939764492756,0.2879001358695652,0.4681977657004831,0.9,53.1,4.2585,212868.25,231303.34800000003,3401519.82,9116.072,333076816.76,17347.752,Flat/Rolling,55512802.79333333,1519.3453333333334,2891.292,Conditional,0.0,63.33333333333333,36.666666666666664
KSRTC-017,Palode,Thiruvananthapuram,0.3740166062801933,0.1879181763285024,0.4335250603864734,0.75,46.86666666666667,3.7646666666666664,188122.08333333334,204600.65016666666,3008833.09,8063.673,294624937.63,15345.045,Rolling,49104156.27166667,1343.9455,2557.5075,Diesel Preferred,0.0,26.666666666666668,73.33333333333333
KSRTC-018,Poovar,Thiruvananthapuram,0.4550000301932367,0.37910567632850245,0.2848239734299517,0.9,41.93333333333333,5.436833333333333,168182.96666666667,271459.15733333334,3992046.43,10698.686,390901186.17,20359.438,Flat/Rolling,65150197.695,1783.1143333333332,3393.2396666666664,Conditional,0.0,73.33333333333333,26.666666666666668
KSRTC-019,Vellanad,Thiruvananthapuram,0.3447246074879227,0.06373671497584542,0.3761875,1.0,36.95,2.966333333333333,148243.9,161049.6365,2368377.01,6347.249,231911475.11,12078.723,Flat,38651912.51833334,1057.8748333333333,2013.1205,Diesel Preferred,0.0,0.0,100.0
KSRTC-020,Kollam,Kollam,0.8727303517512078,0.922026645531401,0.7723900966183574,0.9,135.45,10.395999999999999,621897.4333333333,746831.075,10982809.92,29433.936,1075436748.5,56012.331,Flat/Rolling,179239458.08333334,4905.656,9335.3885,EV Suitable,100.0,0.0,0.0
KSRTC-021,Kottarakkara,Kollam,0.7617689160628021,0.90277913647343,0.7679311594202898,0.4,145.61666666666667,9.7265,625950.6,612736.2155,9010826.7,24149.011,882340150.13,45955.216,Hilly,147056691.68833333,4024.8351666666663,7659.202666666667,Conditional,0.0,100.0,0.0
KSRTC-022,Punalur,Kollam,0.5058367527173914,0.43038020833333335,0.3688221618357488,0.9,81.08333333333333,4.5633333333333335,216346.65,246879.00316666666,3630573.58,9729.935,355505766.61,18515.928,Flat/Rolling,59250961.10166667,1621.6558333333332,3085.988,Conditional,0.0,63.33333333333333,36.666666666666664
KSRTC-023,Pathanapuram,Kollam,0.6343312424516908,0.5945575935990338,0.523508152173913,0.9,59.68333333333333,8.3945,292079.5333333333,326097.2611666667,4795547.96,12852.066,469580056.06,24457.296,Flat/Rolling,78263342.67666666,2142.011,4076.216,Conditional,40.0,45.0,15.0
KSRTC-024,Chadayamangalam,Kollam,0.526625543478261,0.5422898550724639,0.2516020531400966,0.9,64.65,5.302333333333333,182579.7,330957.46150000003,4867021.5,13043.619,476578748.21,24821.81,Flat/Rolling,79429791.36833332,2173.9365000000003,4136.968333333333,Conditional,0.0,85.0,15.0
KSRTC-025,Karunagappally,Kollam,0.5678644852053141,0.5810512530193237,0.3244628623188406,0.9,86.1,5.557833333333334,221386.2,303693.06216666667,4466074.44,11969.081,437318008.65,22776.982,Flat/Rolling,72886334.77499999,1994.8468333333333,3796.163666666667,Conditional,0.0,85.0,15.0
KSRTC-026,Chathannoor,Kollam,0.5487563707729469,0.47860748792270535,0.43150875603864736,0.9,59.8,6.305166666666667,239970.83333333334,277757.91233333334,4084675.19,10946.926,399971392.51,20831.842,Flat/Rolling,66661898.751666665,1824.4876666666667,3471.9736666666668,Conditional,0.0,78.33333333333333,21.666666666666668
KSRTC-027,Aryankavu,Kollam,0.4070950256642512,0.008918855676328503,0.7421186594202899,0.9,26.216666666666665,2.1061666666666667,232183.05,114412.23216666667,1682532.82,4509.186,164753612.96,8580.92,Flat/Rolling,27458935.493333336,751.531,1430.1533333333334,Diesel Preferred,0.0,33.33333333333333,66.66666666666666
KSRTC-028,Pathanamthitta,Pathanamthitta,0.37219668629227054,0.4649312349033817,0.3324368961352657,0.2,91.88333333333334,7.880333333333334,255154.85,211328.94566666667,3107778.61,8328.844,304313677.43,15849.67,Steep,50718946.23833334,1388.1406666666664,2641.6116666666667,Diesel Preferred,0.0,0.0,100.0
KSRTC-029,Thiruvalla,Pathanamthitta,0.8372346844806764,0.7917849486714975,0.804474033816425,1.0,106.81666666666666,4.442333333333334,478456.88333333336,870732.2651666666,12804886.25,34317.096,1253854459.74,65304.92,Flat,208975743.29,5719.516,10884.153333333334,EV Suitable,98.33333333333333,1.6666666666666667,0.0
KSRTC-030,Adoor,Pathanamthitta,0.5395213994565218,0.5944105525362319,0.20772041062801933,0.9,86.01666666666667,6.660833333333333,197138.41666666666,290726.219,4275385.57,11458.032,418645749.39,21804.464,Flat/Rolling,69774291.565,1909.6719999999998,3634.077333333333,Conditional,0.0,83.33333333333334,16.666666666666664
KSRTC-031,Mallappally,Pathanamthitta,0.5041861941425121,0.282047931763285,0.6105407608695652,0.9,41.93333333333333,7.075,285887.0833333333,208811.804,3070761.82,8229.641,300688992.77,15660.888,Flat/Rolling,50114832.12833333,1371.6068333333333,2610.148,Conditional,0.0,71.66666666666667,28.333333333333332
KSRTC-032,Pandalam,Pathanamthitta,0.6350933801328503,0.5074638435990338,0.6712048611111111,0.9,53.78333333333333,3.7623333333333333,268003.1,384814.74133333337,5659040.31,15166.229,554133228.68,28861.105,Flat/Rolling,92355538.11333333,2527.704833333333,4810.184166666667,Conditional,48.333333333333336,50.0,1.6666666666666667
KSRTC-033,Ranni,Pathanamthitta,0.360223860205314,0.30414681461352655,0.1938348429951691,0.75,46.96666666666667,7.7505,163626.9,204600.65233333333,3008833.12,8063.675,294624937.6,15345.052,Rolling,49104156.26666667,1343.9458333333334,2557.5086666666666,Diesel Preferred,0.0,5.0,95.0
KSRTC-034,Alappuzha,Alappuzha,0.448960892210145,0.44045176630434785,0.1624500301932367,0.9,101.66666666666667,6.732333333333333,188259.36666666667,202012.08683333333,2970765.98,7961.655,290897404.86,15150.909,Flat/Rolling,48482900.81,1326.9424999999999,2525.1515,Diesel Preferred,0.0,41.66666666666667,58.333333333333336
KSRTC-035,Cherthala,Alappuzha,0.4001127189009662,0.3673723580917875,0.12142179951690822,0.9,91.66666666666667,5.932333333333333,163968.11666666667,186224.34116666668,2738593.25,7339.43,268163054.17000002,13966.826,Flat/Rolling,44693842.36166667,1223.2383333333335,2327.804333333333,Diesel Preferred,0.0,11.666666666666666,88.33333333333333
KSRTC-036,Kayamkulam,Alappuzha,0.8470110054347827,0.8684053442028986,0.7760277777777778,0.9,96.81666666666666,7.809,483578.38333333336,854991.531,12573404.87,33696.725,1231187805.77,64124.361000000004,Flat/Rolling,205197967.62833333,5616.120833333333,10687.3935,EV Suitable,98.33333333333333,1.6666666666666667,0.0
KSRTC-037,Chengannur,Alappuzha,0.5787987771739131,0.663648097826087,0.32324909420289855,0.75,81.11666666666666,5.774,220274.45,382492.0895,5624883.67,15074.688,550788612.35,28686.906,Rolling,91798102.05833334,2512.448,4781.151,Conditional,1.6666666666666667,96.66666666666667,1.6666666666666667
KSRTC-038,Harippad,Alappuzha,0.5575599109299517,0.3678297856280193,0.6454833937198068,0.9,74.96666666666667,8.4115,374044.56666666665,179631.24766666666,2641635.99,7079.584,258668995.97,13472.34,Flat/Rolling,43111499.32833333,1179.9306666666666,2245.39,Conditional,0.0,85.0,15.0
KSRTC-039,Mavelikkara,Alappuzha,0.5261957503019324,0.6004442179951692,0.15324547101449276,0.9,69.65,7.520166666666666,173487.21666666667,314301.44433333335,4622080.06,12387.172,452594079.56,23572.606,Flat/Rolling,75432346.59333333,2064.5286666666666,3928.7676666666666,Conditional,0.0,85.0,15.0
KSRTC-040,Edathua,Alappuzha,0.3358011775362319,0.11704166666666668,0.7909344806763285,0.2,41.75,3.366,305140.4,182825.14166666666,2688605.03,7205.459,263268206.37,13711.886,Steep,43878034.395,1200.9098333333334,2285.3143333333333,Diesel Preferred,0.0,0.0,100.0
KSRTC-041,Kottayam,Kottayam,0.8599620471014493,0.8739311594202899,0.8099882246376812,0.9,116.06666666666666,10.598666666666668,624408.1333333333,541579.5033333333,7964404.46,21344.607,779874484.12,40618.464,Flat/Rolling,129979080.68666667,3557.4345,6769.744,EV Suitable,100.0,0.0,0.0
KSRTC-042,Changanassery,Kottayam,0.45975257397342995,0.5036142059178744,0.19315157004830918,0.75,81.23333333333333,5.391333333333334,177415.96666666667,267859.38300000003,3939108.57,10556.813,385717510.63,20089.454,Rolling,64286251.77166667,1759.4688333333334,3348.2423333333336,Conditional,0.0,70.0,30.0
KSRTC-043,Pala,Kottayam,0.568785809178744,0.7085268719806764,0.215074577294686,0.75,91.73333333333333,7.6865,211010.3,350341.96116666665,5152087.67,13807.593,504492422.1,26275.644,Rolling,84082070.35000001,2301.2655,4379.274,Conditional,0.0,91.66666666666666,8.333333333333332
KSRTC-044,Vaikom,Kottayam,0.5001612469806763,0.46994097222222225,0.617302536231884,0.4,69.7,5.1531666666666665,294851.95,272110.8185,4001629.69,10724.366,391839580.17,20408.313000000002,Hilly,65306596.695,1787.3943333333334,3401.3855000000003,Conditional,0.0,85.0,15.0
KSRTC-045,Ponkunnam,Kottayam,0.5683829030797102,0.500803668478261,0.45993689613526567,0.9,64.88333333333334,6.831833333333334,261724.81666666668,271313.4793333333,3989904.11,10692.942,390691410.23,20348.515,Flat/Rolling,65115235.038333334,1782.157,3391.4191666666666,Conditional,0.0,85.0,15.0
KSRTC-046,Erattupetta,Kottayam,0.51961507397343,0.36194935084541063,0.46213466183574875,1.0,59.833333333333336,4.28,220144.55,252014.158,3706090.56,9932.325,362900387.48,18901.059,Flat,60483397.913333334,1655.3875,3150.1765,Conditional,0.0,68.33333333333333,31.666666666666664
KSRTC-047,Thodupuzha,Idukki,0.45529956219806766,0.610387077294686,0.36702007850241547,0.2,85.98333333333333,8.447833333333334,270010.4,278457.4803333333,4094962.95,10974.498,400978767.93,20884.311,Steep,66829794.655,1829.0829999999999,3480.7185000000004,Diesel Preferred,0.0,0.0,100.0
KSRTC-048,Kattappana,Idukki,0.6558733846618359,0.6282272041062803,0.5391992753623189,0.9,70.8,5.4590000000000005,275984.7,388707.34900000005,5716284.54,15319.64,559738579.73,29153.051,Flat/Rolling,93289763.28833334,2553.273333333333,4858.841833333333,EV Suitable,53.333333333333336,45.0,1.6666666666666667
KSRTC-049,Kumily,Idukki,0.32791862922705317,0.3252303743961353,0.41767814009661836,0.2,54.35,3.7976666666666667,194279.76666666666,251107.826,3692762.14,9896.603,361595272.42,18833.086,Steep,60265878.73666667,1649.4338333333333,3138.8476666666666,Diesel Preferred,0.0,0.0,100.0
KSRTC-050,Munnar,Idukki,0.5668098429951691,0.30767421497584546,0.7765757850241546,0.9,48.63333333333333,4.644333333333334,325927.63333333336,240308.55899999998,3533949.39,9470.983,346044324.51,18023.145,Flat/Rolling,57674054.085,1578.4971666666668,3003.8575,Conditional,5.0,78.33333333333333,16.666666666666664
KSRTC-051,Nedumkandam,Idukki,0.42528240489130437,0.2531148097826087,0.8624166666666666,0.2,43.6,3.505666666666667,372765.3,240203.3345,3532401.98,9466.833,345892806.63,18015.252,Steep,57648801.105,1577.8055000000002,3002.542,Diesel Preferred,0.0,0.0,100.0
KSRTC-052,Moolamattom,Idukki,0.300166213768116,0.0278161231884058,0.35419384057971015,0.9,31.633333333333333,2.5406666666666666,126986.0,137977.878,2029086.44,5437.949,198688144.7,10348.34,Flat/Rolling,33114690.78333333,906.3248333333332,1724.7233333333334,Diesel Preferred,0.0,0.0,100.0
KSRTC-053,Ernakulam (Kochi),Ernakulam,0.7364017361111111,0.6531357185990339,0.866112922705314,0.75,213.88333333333333,4.023166666666667,937838.1,340707.4171666667,5010403.19,13427.881,490618685.34,25553.053,Rolling,81769780.89,2237.9801666666667,4258.842166666666,EV Suitable,100.0,0.0,0.0
KSRTC-054,Aluva,Ernakulam,0.8277619187801933,0.7523305404589372,0.9053221618357488,0.9,110.53333333333333,4.473333333333333,643583.7333333333,570297.9311666667,8386734.3,22476.45,821229023.85,42772.348,Flat/Rolling,136871503.975,3746.0750000000003,7128.724666666666,EV Suitable,100.0,0.0,0.0
KSRTC-055,Angamaly,Ernakulam,0.7899927989130435,0.7964402173913043,0.8059089673913042,0.75,101.31666666666666,5.444833333333333,482004.68333333335,704080.7171666666,10354128.19,27749.068,1013876233.41,52806.051,Rolling,168979372.23499998,4624.844666666667,8801.0085,EV Suitable,98.33333333333333,1.6666666666666667,0.0
KSRTC-056,Perumbavoor,Ernakulam,0.7905789100241546,0.7796945954106281,0.7357720410628019,0.9,91.81666666666666,6.4943333333333335,419766.5,552938.5596666667,8131449.41,21792.283,796231526.3,41470.389,Flat/Rolling,132705254.38333333,3632.0471666666667,6911.731500000001,EV Suitable,86.66666666666667,13.333333333333334,0.0
KSRTC-057,Muvattupuzha,Ernakulam,0.5126265851449275,0.5704859601449275,0.15794535024154588,0.9,96.66666666666667,8.4665,194790.41666666666,246198.08333333334,3620560.0500000003,9703.104,354525239.24,18464.855,Flat/Rolling,59087539.873333335,1617.184,3077.4758333333334,Conditional,0.0,81.66666666666667,18.333333333333332
KSRTC-058,Kothamangalam,Ernakulam,0.4969453728864735,0.5895059631642512,0.17397463768115942,0.75,75.93333333333334,4.770833333333333,161832.68333333332,353844.12416666665,5203590.06,13945.617,509535539.1,26538.313,Rolling,84922589.85000001,2324.2695,4423.052166666666,Conditional,0.0,85.0,15.0
KSRTC-059,Piravom,Ernakulam,0.5686376434178745,0.5120769172705314,0.44199728260869564,0.9,41.93333333333333,7.273166666666667,223905.76666666666,327232.6938333333,4812245.5,12896.815,471215081.22,24542.451,Flat/Rolling,78535846.87,2149.4691666666668,4090.4085,Conditional,1.6666666666666667,83.33333333333334,15.0
KSRTC-060,North Paravur,Ernakulam,0.5472540534420289,0.47653328804347833,0.42995803140096617,0.9,54.31666666666667,4.797833333333333,213617.91666666666,321576.9546666667,4729072.86,12673.913,463070815.02,24118.272,Flat/Rolling,77178469.17,2112.3188333333333,4019.712,Conditional,0.0,85.0,15.0
KSRTC-061,Thrissur,Thrissur,0.8830038647342995,0.9699441425120773,0.8267726449275362,0.75,183.21666666666667,15.436,932852.5166666667,1021216.1678333334,15017884.82,40247.93,1470551281.66,76591.215,Rolling,245091880.27666667,6707.988333333334,12765.2025,EV Suitable,100.0,0.0,0.0
KSRTC-062,Guruvayur,Thrissur,0.5071069142512078,0.469586654589372,0.30771195652173916,0.9,86.21666666666667,6.925833333333333,233123.91666666666,228156.07316666667,3355236.37,8992.036,328544749.66,17111.708,Flat/Rolling,54757458.27666667,1498.6726666666666,2851.951333333333,Conditional,0.0,71.66666666666667,28.333333333333332
KSRTC-063,Chalakudy,Thrissur,0.6143031325483093,0.7006049969806764,0.28000211352657006,0.9,81.65,6.525833333333334,216265.0,399983.52533333335,5882110.66,15764.056,575976274.24,29998.765,Flat/Rolling,95996045.70666666,2627.342666666667,4999.794166666667,Conditional,3.3333333333333335,95.0,1.6666666666666667
KSRTC-064,Kodungallur,Thrissur,0.6289376962560387,0.5832380736714976,0.6243955314009662,0.75,59.766666666666666,4.7965,276370.48333333334,411669.67733333335,6053965.85,16224.628,592804335.56,30875.226,Rolling,98800722.59333332,2704.1046666666666,5145.871,EV Suitable,56.666666666666664,43.333333333333336,0.0
KSRTC-065,Irinjalakuda,Thrissur,0.5065245621980676,0.5014128925120773,0.25272705314009664,0.9,64.71666666666667,5.197500000000001,181682.86666666667,302022.5828333333,4441508.57,11903.244,434912520.46,22651.693,Flat/Rolling,72485420.07666667,1983.874,3775.2821666666664,Conditional,0.0,85.0,15.0
KSRTC-066,Pudukkad,Thrissur,0.5169102506038648,0.18775437801932368,0.8101102053140097,0.9,46.88333333333333,3.765333333333333,335195.95,204600.65316666666,3008833.13,8063.671,294624937.61,15345.046,Flat/Rolling,49104156.26833334,1343.9451666666666,2557.507666666667,Conditional,0.0,85.0,15.0
KSRTC-067,Vadakkanchery,Thrissur,0.4976166666666667,0.11470289855072464,0.8675507246376811,0.9,42.083333333333336,3.3655,372588.76666666666,180475.03483333334,2654044.63,7112.84,259884049.8,13535.623,Flat/Rolling,43314008.300000004,1185.4733333333334,2255.9371666666666,Conditional,0.0,85.0,15.0
KSRTC-068,Palakkad,Palakkad,0.8339583937198067,0.9228517512077296,0.7417750603864735,0.75,154.58333333333334,12.129333333333333,664491.95,649886.7471666667,9557158.04,25613.18,935836916.59,48741.504,Rolling,155972819.43166667,4268.863333333334,8123.584,EV Suitable,100.0,0.0,0.0
KSRTC-069,Chittur,Palakkad,0.5001904966787439,0.39753298611111115,0.5047466787439613,0.75,59.65,4.7975,239970.75,260730.4338333333,3834271.09,10275.842,375451823.6,19554.782,Rolling,62575303.93333334,1712.6403333333335,3259.130333333333,Conditional,0.0,80.0,20.0
KSRTC-070,Alathur,Palakkad,0.40992292421497584,0.3274804498792271,0.22060899758454106,0.9,54.28333333333333,4.361666666666666,155131.15,244510.50816666667,3595742.77,9636.589,352095131.59,18338.288,Flat/Rolling,58682521.931666665,1606.0981666666667,3056.3813333333333,Diesel Preferred,0.0,28.333333333333332,71.66666666666667
KSRTC-071,Mannarkkad,Palakkad,0.7039879378019324,0.6751713466183575,0.6213408816425121,0.9,65.43333333333334,7.866833333333333,335104.9,393185.1578333333,5782134.68,15496.126,566186626.38,29488.886,Flat/Rolling,94364437.73,2582.6876666666667,4914.814333333333,EV Suitable,76.66666666666667,21.666666666666668,1.6666666666666667
KSRTC-072,Cherpulassery,Palakkad,0.5558788722826087,0.2871528532608696,0.7743414855072464,0.9,48.483333333333334,3.6133333333333337,310392.2833333333,246082.50116666668,3618860.31,9698.547,354358802.78,18456.188,Flat/Rolling,59059800.46333333,1616.4245,3076.031333333333,Conditional,0.0,85.0,15.0
KSRTC-073,Vadakkencherry,Palakkad,0.4479143493357488,0.3478913798309179,0.4132288647342995,0.75,54.233333333333334,5.539666666666666,218049.81666666668,236952.89733333333,3484601.44,9338.729,341212174.55,17771.466,Rolling,56868695.75833333,1556.4548333333332,2961.911,Conditional,0.0,70.0,30.0
KSRTC-074,Malappuram,Malappuram,0.590085341183575,0.6903023852657005,0.5497804951690822,0.4,81.33333333333333,7.322333333333333,323196.1666666667,367243.9423333333,5400646.22,14473.734,528831279.46,27543.291,Hilly,88138546.57666667,2412.289,4590.5485,Conditional,0.0,91.66666666666666,8.333333333333332
KSRTC-075,Perinthalmanna,Malappuram,0.6300233620169082,0.7167423762077295,0.3055072463768116,0.9,70.65,8.502166666666666,232525.95,409206.06549999997,6017736.26,16127.528,589256733.91,30690.46,Flat/Rolling,98209455.65166666,2687.921333333333,5115.076666666667,Conditional,35.0,65.0,0.0
KSRTC-076,Nilambur,Malappuram,0.5135272116545894,0.4846794233091788,0.30395833333333333,0.9,64.78333333333333,4.050666666666666,179423.6,317077.79133333336,4662908.69,12496.594000000001,456592013.69,23780.832,Flat/Rolling,76098668.94833334,2082.7656666666667,3963.4719999999998,Conditional,0.0,85.0,15.0
KSRTC-077,Ponnani,Malappuram,0.34458587711352656,0.27897048611111114,0.1836687801932367,0.75,59.88333333333333,5.796166666666666,165333.5,193843.86433333333,2850645.08,7639.728,279135165.86,14538.288,Rolling,46522527.64333334,1273.288,2423.0480000000002,Diesel Preferred,0.0,0.0,100.0
KSRTC-078,Tirur,Malappuram,0.6221232261473431,0.5434144776570048,0.5680532910628019,0.9,54.4,7.2956666666666665,287638.7166666667,316881.2918333334,4660019.0,12488.851,456309061.3,23766.093,Flat/Rolling,76051510.21666667,2081.4751666666666,3961.0155,Conditional,36.666666666666664,48.333333333333336,15.0
KSRTC-079,Kozhikode (Calicut),Kozhikode,0.7354122433574879,0.9768929649758455,0.6898858695652174,0.2,233.51666666666668,17.98933333333333,884987.2333333333,1017742.1146666667,14966795.8,40111.014,1465548646.47,76330.659,Steep,244258107.745,6685.169000000001,12721.7765,Diesel Preferred,0.0,0.0,100.0
KSRTC-080,Thamarassery,Kozhikode,0.4804463315217392,0.4777576992753623,0.20522493961352656,0.9,81.35,4.144833333333334,163156.91666666666,275545.45283333334,4052139.0100000002,10859.733,396785451.97,20665.907,Flat/Rolling,66130908.66166667,1809.9555,3444.317833333333,Conditional,0.0,73.33333333333333,26.666666666666668
KSRTC-081,Vadakara,Kozhikode,0.4733368055555556,0.3851292270531401,0.335907306763285,0.9,69.85,6.494833333333333,224504.11666666667,216588.035,3185118.16,8536.116,311886769.12,16244.104000000001,Flat/Rolling,51981128.18666667,1422.686,2707.3506666666667,Conditional,0.0,58.333333333333336,41.66666666666667
KSRTC-082,Thottilpalam,Kozhikode,0.449201517210145,0.2168720561594203,0.5358849637681159,0.9,48.81666666666667,3.904166666666667,217587.25,212252.22783333334,3121356.3,8365.238,305643213.19,15918.918,Flat/Rolling,50940535.531666666,1394.2063333333333,2653.153,Conditional,0.0,50.0,50.0
KSRTC-083,Sulthan Bathery,Wayanad,0.8883589145531402,0.9192219957729469,0.8291597222222222,0.9,120.91666666666667,10.365,658051.9,777486.7226666666,11433628.27,30642.127,1119580880.65,58311.511,Flat/Rolling,186596813.4416667,5107.021166666666,9718.585166666666,EV Suitable,100.0,0.0,0.0
KSRTC-084,Kalpetta,Wayanad,0.5547848580917875,0.372367904589372,0.6286696859903382,0.9,69.7,4.730333333333333,293188.31666666665,234468.81716666665,3448070.84,9240.83,337635092.0,17585.159,Flat/Rolling,56272515.333333336,1540.1383333333333,2930.8598333333334,Conditional,0.0,80.0,20.0
KSRTC-085,Mananthavady,Wayanad,0.6964571708937198,0.5799228562801932,0.7549858091787439,0.9,64.96666666666667,4.995833333333334,349324.6,373939.0748333333,5499104.04,14737.603,538472267.14,28045.433,Flat/Rolling,89745377.85666667,2456.2671666666665,4674.238833333334,EV Suitable,75.0,23.333333333333332,1.6666666666666667
